name,capital,region,subregion,population,area,latitude,longitude,density,fecha_extraccion
United States Virgin Islands,Charlotte Amalie,Americas,Caribbean,87146,347.0,18.35,-64.933333,251.14121037463977,2026-04-14T16:56:47.774207
Syria,Damascus,Asia,Western Asia,25620000,185180.0,35.0,38.0,138.35187385246786,2026-04-14T16:56:47.774210
Romania,Bucharest,Europe,Southeast Europe,19036031,238391.0,46.0,25.0,79.8521378743325,2026-04-14T16:56:47.774214
Guatemala,Guatemala City,Americas,Central America,18079810,108889.0,15.5,-90.25,166.03890200112042,2026-04-14T16:56:47.774218
Nepal,Kathmandu,Asia,Southern Asia,29911840,147181.0,28.0,84.0,203.2316671309476,2026-04-14T16:56:47.774221
Réunion,Saint-Denis,Africa,Eastern Africa,896175,2511.0,-21.15,55.5,356.89964157706095,2026-04-14T16:56:47.774225
Benin,Porto-Novo,Africa,Western Africa,13224860,112622.0,9.5,2.25,117.4269680879402,2026-04-14T16:56:47.774229
Kuwait,Kuwait City,Asia,Western Asia,4881254,17818.0,29.5,45.75,273.9507239869795,2026-04-14T16:56:47.774233
Suriname,Paramaribo,Americas,South America,616500,163820.0,4.0,-56.0,3.763276767183494,2026-04-14T16:56:47.774236
New Caledonia,Nouméa,Oceania,Melanesia,264596,18575.0,-21.5,165.5,14.244737550471063,2026-04-14T16:56:47.774241
Sudan,Khartoum,Africa,Northern Africa,51662000,1886068.0,15.0,30.0,27.391377193187097,2026-04-14T16:56:47.774244
United States Minor Outlying Islands,Washington DC,Americas,North America,0,34.2,19.3,166.633333,0.0,2026-04-14T16:56:47.774249
Chad,N'Djamena,Africa,Middle Africa,19340757,1284000.0,15.0,19.0,15.062894859813085,2026-04-14T16:56:47.774253
Uruguay,Montevideo,Americas,South America,3499451,181034.0,-33.0,-56.0,19.33035230951092,2026-04-14T16:56:47.774261
Bosnia and Herzegovina,Sarajevo,Europe,Southeast Europe,3422000,51209.0,44.0,18.0,66.8241910601652,2026-04-14T16:56:47.774265
Trinidad and Tobago,Port of Spain,Americas,Caribbean,1367764,5130.0,10.6918,-61.2225,266.6206627680312,2026-04-14T16:56:47.774268
Sweden,Stockholm,Europe,Northern Europe,10605098,450295.0,62.0,15.0,23.551445163726,2026-04-14T16:56:47.774272
Iceland,Reykjavik,Europe,Northern Europe,391810,103000.0,65.0,-18.0,3.8039805825242716,2026-04-14T16:56:47.774275
Haiti,Port-au-Prince,Americas,Caribbean,11867032,27750.0,19.0,-72.41666666,427.6407927927928,2026-04-14T16:56:47.774279
Brunei,Bandar Seri Begawan,Asia,South-Eastern Asia,455500,5765.0,4.5,114.66666666,79.0112749349523,2026-04-14T16:56:47.774283
French Southern and Antarctic Lands,Port-aux-Français,Antarctic,,400,7747.0,-49.25,69.167,0.051632890151026206,2026-04-14T16:56:47.774290
Guernsey,St. Peter Port,Europe,Northern Europe,64781,78.0,49.46666666,-2.58333333,830.525641025641,2026-04-14T16:56:47.774294
Croatia,Zagreb,Europe,Southeast Europe,3866233,56594.0,45.16666666,15.5,68.31524543237799,2026-04-14T16:56:47.774301
Saint Barthélemy,Gustavia,Americas,Caribbean,10562,21.0,18.5,-63.41666666,502.95238095238096,2026-04-14T16:56:47.774305
Mongolia,Ulan Bator,Asia,Eastern Asia,3544835,1564110.0,46.0,105.0,2.266359143538498,2026-04-14T16:56:47.774309
Aruba,Oranjestad,Americas,Caribbean,107566,180.0,12.5,-69.96666666,597.5888888888888,2026-04-14T16:56:47.774312
Republic of the Congo,Brazzaville,Africa,Middle Africa,6142180,342000.0,-1.0,15.0,17.959590643274854,2026-04-14T16:56:47.774316
São Tomé and Príncipe,São Tomé,Africa,Middle Africa,209607,964.0,1.0,7.0,217.43464730290455,2026-04-14T16:56:47.774319
Yemen,Sana'a,Asia,Western Asia,32684503,527968.0,15.0,48.0,61.90621969513304,2026-04-14T16:56:47.774323
Equatorial Guinea,Ciudad de la Paz,Africa,Middle Africa,1668768,28051.0,2.0,10.0,59.49049944743503,2026-04-14T16:56:47.774327
